id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	account	0.4394	0.4669	3	131	228	13	2021.7692	13.3846	0.7793
2	accurate classification	0.0963	-0.4173	4	114	185	10	2022.7	9.4	1.1181
3	accurate identification	-0.256	0.0959	1	175	338	20	2021.65	20.5	1.0354
4	acquisition	0.5763	0.3779	3	178	370	25	2019.56	25.6	1.2232
5	adam optimizer	-0.7227	-0.2222	1	122	219	15	2022.3333	18.6	1.4697
6	adoption	0.0576	0.8527	3	161	314	21	2022.1429	19.3333	0.8886
7	agricultural application	-0.3285	0.346	3	171	356	26	2022.3077	15.1154	1.1318
8	agricultural output	-0.5668	0.1682	1	117	193	14	2023.0714	2.7143	0.5237
9	agricultural technology	-0.3817	0.3784	3	111	169	11	2022.4545	12.6364	0.5104
10	agricultural yield	-0.5125	0.3425	1	164	252	20	2022.15	9.25	0.8542
11	agriculture field	-0.4902	-0.6387	1	149	243	18	2021.2222	20.3333	1.3648
12	agriculture industry	-0.622	0.2877	1	75	137	12	2021.5833	21.75	1.0572
13	agriculture sector	-0.5656	-0.1032	1	255	487	39	2021.359	28.4359	1.0227
14	ailment	-0.7459	-0.2828	1	135	211	16	2022.25	4.8125	1.2391
15	alexnet	-0.998	-0.2273	1	360	1408	89	2021.9775	11.7978	0.7565
16	alternaria solani	0.3008	-0.5158	4	77	167	11	2022	5.3636	0.2888
17	animal	0.3549	0.1442	3	163	387	31	2021.5161	16.3548	0.8037
18	ann	0.6126	-0.4275	2	279	1158	66	2020.6212	15.9242	0.8079
19	annotation	-0.5685	0.4525	1	229	524	42	2022.0476	34.6667	1.3338
20	anthracnose	0.1553	-0.6056	6	229	744	36	2022.0556	13.8056	0.8378
21	app	-0.3617	0.4533	3	133	467	34	2021.7647	11.8235	1.1894
22	apple disease	-0.9635	-0.1361	1	113	222	15	2020.3333	30.8	1.0864
23	apple leaf disease	-0.8201	0.3027	1	107	287	26	2021.8077	5.8077	0.4556
24	apple tree	0.9012	-0.2479	5	89	184	12	2022	9.4167	0.6048
25	art method	-0.6858	0.0105	1	171	356	27	2022.3333	27.1852	1.6992
26	art model	-0.7951	-0.2258	1	185	359	27	2022.0741	21.5926	1.2552
27	art technique	-0.9307	-0.0166	1	99	158	11	2021.7273	13.9091	0.6566
28	artificial neural network	0.5519	-0.3215	2	366	1046	73	2019.4384	14.589	0.8274
29	asian country	-0.3496	-0.5507	1	151	278	16	2021.9375	18	1.1805
30	assessment	0.3986	0.3731	3	415	1558	88	2021.4205	19.3523	1.0468
31	attention mechanism	-0.892	0.3651	1	241	663	49	2022.7551	18.0612	1.3394
32	attention module	-1.1398	0.2908	1	172	540	35	2022.8286	11.2571	0.9835
33	auc	-0.1439	-0.1288	1	150	242	15	2022.2	9.2	0.6612
34	augmentation	-0.8673	-0.3537	1	160	453	30	2022.3	10.1	1.0803
35	augmented dataset	-0.8279	-0.2737	1	136	216	15	2021.8667	9.7333	1.2892
36	automated detection	-0.7525	-0.3548	1	149	251	19	2022	15.5263	0.4448
37	automated system	-0.5491	-0.5292	1	113	206	16	2022.0625	3.625	0.4499
38	automatic disease detection	0.0901	-0.2134	1	128	254	16	2021.375	11.875	0.9753
39	automatic system	-0.5721	-0.6389	1	82	134	11	2021.6364	11.7273	0.7595
40	available dataset	-0.6528	0.239	1	227	416	31	2022.4839	7.3226	0.8899
41	backbone	-0.2515	0.2154	1	264	726	50	2022.28	14.98	1.1308
42	background noise	-0.4755	-0.3188	1	108	166	12	2022.5833	9.1667	0.9908
43	bacterial blight	-0.4014	-0.3768	1	192	358	28	2021.3929	9.75	0.6221
44	bacterial leaf blight	-0.6579	-0.8178	1	131	260	17	2021.8824	21.2353	1.7117
45	bacterial spot	-0.0816	-0.1863	2	112	217	14	2021.7143	23.4286	0.9275
46	banana	0.1103	-0.4897	2	106	208	12	2021.5833	30.75	1.075
47	band	1.4027	-0.2623	2	291	1958	78	2020.9487	18.2564	0.9872
48	bangladesh	-0.593	-0.3991	1	120	317	27	2021.0741	7.8519	0.6089
49	basal stem rot	1.1911	-0.7043	2	87	334	15	2020.4667	17.1333	0.8731
50	benchmark dataset	-0.3196	-0.2428	1	138	246	16	2022.25	10.125	0.8982
51	best accuracy	-0.8419	-0.5007	1	126	229	14	2022.1429	10.5714	0.9288
52	best model	-0.0837	0.0708	1	102	169	11	2021.8182	34.2727	1.2707
53	best performance	0.0803	-0.3819	6	182	341	20	2021.3	61.8	1.3555
54	best result	-0.2033	-0.4124	1	137	221	12	2021.5	17.9167	1.3288
55	better performance	0.1653	-0.7502	6	251	787	35	2021.5143	14.6286	0.9775
56	better result	-0.7478	-0.3695	1	178	330	26	2021.4615	11.3077	0.5898
57	big data	0.1231	0.6908	3	113	216	13	2021.4615	19.7692	0.7922
58	binary classification	-0.8953	-0.3787	1	76	153	11	2022.5455	17.1818	0.8461
59	biotic stress	-0.4029	-0.1367	1	99	316	19	2021.7368	26.1053	0.8404
60	black rot	-0.3457	-0.0797	1	161	314	22	2021.5	22.7273	1.3186
61	black spot	0.0856	0.1764	5	135	290	19	2020.8947	16.7368	1.2237
62	blight	0.0783	-0.1975	1	383	1301	83	2021.9639	16.2048	1.129
63	bounding box	-0.6584	0.6784	1	77	238	18	2021.7778	12.8333	0.4475
64	bpnn	1.1411	-0.998	6	111	574	15	2020.6	7.8667	0.7776
65	branch	-0.3011	0.3233	5	171	379	23	2021.7826	12.3478	0.7704
66	brown spot	-0.6471	-0.6156	1	238	624	41	2021.5366	12	0.7843
67	bsr	1.2026	-0.7903	2	82	346	14	2019.8571	24.4286	1.3607
68	camera	0.547	0.193	4	408	1654	104	2021.3077	19.3077	0.8632
69	canker	0.2479	-0.0351	5	142	405	24	2021.9167	16.375	1.442
70	canopy	1.1059	0.1099	5	187	864	47	2020.8298	14.2766	0.7513
71	capsnet	-1.0777	-0.1124	1	93	394	21	2022.619	2.7143	0.8371
72	capsule network	-0.9214	-0.0994	1	112	482	30	2022.4667	3.9667	0.5984
73	cassava	-0.2844	0.4278	4	119	230	21	2021.7143	21.9524	0.448
74	cassava plant	-0.0805	0.4997	4	49	180	12	2021.8333	19.8333	0.8432
75	cbam	-1.0614	0.2666	1	114	253	16	2022.75	6.5625	0.5843
76	cbsd	0.2084	0.6733	4	29	125	10	2021.1	39	0.9348
77	challenging task	-0.8346	-0.2061	1	193	367	23	2022.087	14.6522	1.373
78	change	0.4977	0.0399	2	491	2117	127	2021.3937	13.2205	0.9104
79	channel	-0.3071	0.0074	1	212	546	32	2022.2188	13.5625	0.6784
80	chapter	0.1686	-0.2006	3	58	197	15	2020.3333	10.7333	0.192
81	characterization	0.1588	0.2247	3	128	235	17	2020.8824	22.8824	1.1139
82	china	0.2008	0.1849	1	131	262	16	2021.875	7.9375	0.8984
83	chlorophyll	1.5282	-0.1403	2	96	224	11	2020.7273	11.8182	0.5703
84	chlorophyll content	1.4267	-1.0115	6	74	632	15	2020.9333	9.9333	0.3893
85	citrus	-0.1165	0.2988	5	129	270	18	2021.2778	41.1667	2.0592
86	citrus canker	-0.1382	0.6698	5	51	146	11	2021.0909	8.8182	0.1133
87	citrus disease	-0.2337	0.4666	5	103	370	24	2021.625	21.2083	1.083
88	citrus fruit	-0.0361	0.3752	5	82	245	21	2021.8571	27.619	0.9495
89	citrus plant	0.3528	0.5989	5	75	248	14	2021.3571	48.0714	1.0296
90	class imbalance	-0.519	0.7859	5	58	155	13	2021.4615	37.0769	1.7634
91	classification algorithm	0.621	-0.3951	2	198	436	24	2021.5833	12.2917	0.5014
92	classification method	0.551	-0.2726	2	281	833	50	2020.4	34.66	0.9255
93	classification model	0.1594	-0.5994	6	434	2074	99	2021.7778	11.9596	0.9737
94	classification performance	-0.2453	-0.5349	1	258	683	38	2021.1053	27.0263	1.4514
95	classification result	0.5707	-0.3314	2	207	459	27	2021.1481	17.6667	1.0339
96	climatic condition	-0.0821	-0.0316	3	131	175	14	2020.8571	11.7143	0.5814
97	cloud	-0.2708	0.1732	3	125	527	31	2021.871	14.6452	1.952
98	clustering	0.1892	-0.5836	4	223	541	35	2021.2286	8.7143	0.8301
99	cnn algorithm	-0.0378	-0.1441	3	69	143	10	2021.7	11	0.647
100	cnn architecture	-0.935	-0.2391	1	292	871	59	2022.0678	17.2034	0.8116
101	cnn model	-0.541	-0.2313	1	521	2504	181	2022.221	12.674	1.3236
102	color feature	-0.38	-0.6963	1	115	201	14	2020.9286	30.2143	1.418
103	colour	-0.2001	-0.6826	1	91	182	14	2022.7857	8.9286	0.4543
104	common rust	-0.5558	-0.2773	1	67	87	10	2022	11.7	0.7517
105	communication	0.1342	0.5415	3	125	201	14	2021	13.4286	1.0572
106	complex background	-0.6749	0.3298	1	213	567	39	2022.5385	11.641	0.9716
107	comprehensive review	-0.1247	0.6213	3	142	251	19	2021.7895	78.5789	2.1858
108	computational complexity	-0.8756	0.1299	1	156	309	21	2022.619	14.8095	1.3917
109	computational efficiency	-0.6823	0.5878	1	58	136	10	2022.5	4.9	0.2834
110	computer vision technology	-0.5073	0.4114	1	143	273	18	2022.2778	30.8889	1.5971
111	concentration	1.3551	-0.1444	2	129	405	21	2021.3333	7.2857	0.6416
112	confusion matrix	-0.9857	-0.0941	1	106	190	12	2022.6667	4.3333	1.3233
113	consumer	-0.3263	0.1335	3	150	262	18	2022.0556	11.7778	0.9209
114	convolution	-0.8734	0.1583	1	229	708	55	2022.5273	16.8545	0.8561
115	convolution neural network	-0.4551	-0.4264	1	264	648	55	2021.5818	13.6545	0.7736
116	convolutional layer	-0.837	-0.0436	1	139	325	21	2021.0952	13.5238	0.7064
117	convolutional neural network model	-1.0769	-0.0007	1	212	486	35	2021.9143	35.8857	1.0116
118	copy	-0.0486	0.2072	3	136	231	13	2021.8462	25.2308	1.3037
119	correlation	0.4913	-0.143	2	249	534	29	2020.931	14.5862	0.5881
120	cotton	0.0638	-0.156	2	211	668	41	2021.7805	12.0244	0.941
121	cotton crop	-0.3689	-0.2765	1	53	105	10	2022.6	3.9	0.6888
122	cotton leaf disease	-0.3547	-0.3186	1	83	174	16	2020.5625	16.8125	0.6505
123	cotton plant	0.0624	-0.2933	2	81	180	13	2021.8462	9.4615	0.9995
