id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Occurrences>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
634,stage,0.2788,-0.2356,2,679,7037,442,2021.5566,15.7579,0.8968
332,infection,0.6368,-0.1425,4,578,4468,266,2021.3947,17.4211,0.982
356,layer,-0.801,-0.1843,1,498,3042,216,2022.1528,11.625,1.0952
585,sample,0.4572,0.1287,5,539,3538,210,2021.5524,12.0476,0.7633
388,management,0.234,0.4156,3,588,3307,207,2021.8792,32.0048,1.4035
363,level,0.4913,-0.0539,2,585,3585,206,2021.1068,18.6408,0.9382
712,vision,-0.1394,0.1379,1,569,2748,205,2021.7951,27.9707,1.2155
504,pre,-0.866,-0.1751,1,508,2867,198,2022.0808,23.7222,1.5518
679,transfer learning,-0.7606,0.0937,1,523,2900,194,2021.8608,24.6392,1.272
625,species,0.1464,-0.06,4,490,2492,181,2021.1657,16.8398,0.8105
566,review,0.0892,0.7223,3,400,2383,181,2021.7624,39.9503,2.0827
101,cnn model,-0.541,-0.2313,1,521,2504,181,2022.221,12.674,1.3236
648,svm,0.4997,-0.5743,2,532,3328,180,2021.3111,16.0389,0.8249
601,sensor,0.7544,0.251,3,436,2774,173,2021.0231,22.9075,1.1945
605,set,0.0945,-0.3148,6,537,2671,164,2020.872,31.5366,1.3089
683,tree,1.0463,-0.1843,2,348,2471,136,2020.7574,24.3382,0.8063
644,support vector machine,0.5425,-0.1974,2,514,2240,136,2020.6029,21.3824,0.8671
506,precision agriculture,-0.0131,0.5766,3,438,1927,132,2021.8864,16.5227,1.3775
455,pathogen,0.6329,0.3796,3,439,2220,131,2021.6031,11.9924,0.6506
78,change,0.4977,0.0399,2,491,2117,127,2021.3937,13.2205,0.9104
494,platform,0.3013,0.3067,3,454,2023,126,2021.6746,17.3571,1.2639
559,resnet,-0.792,-0.0013,1,438,2051,126,2022.254,18.627,1.1197
688,uav,0.9813,0.158,2,410,2771,125,2021.448,24.656,1.4665
342,iot,-0.4465,0.4352,3,346,1921,125,2022.216,14.032,1.1684
682,treatment,0.28,0.0072,2,472,2041,123,2021.5447,17.3496,1.0216
411,module,-0.9492,0.3026,1,365,1709,120,2022.2583,12.2667,0.8295
589,scale,0.4059,0.4725,3,449,1786,109,2021.4037,32.211,1.068
532,range,0.6425,-0.0906,2,480,2039,108,2021.4167,20.1944,1.1388
68,camera,0.547,0.193,4,408,1654,104,2021.3077,19.3077,0.8632
594,sector,-0.3345,0.1739,3,397,1110,102,2021.8922,8.1176,0.6915
645,survey,0.007,0.3483,3,319,1240,99,2020.8384,32.6061,1.3386
93,classification model,0.1594,-0.5994,6,434,2074,99,2021.7778,11.9596,0.9737
678,transfer,-0.7274,-0.1911,1,391,1437,97,2021.9072,24.6598,1.1337
146,deep convolutional neural network,-0.7087,-0.1322,1,402,1217,97,2021.5361,37.8454,1.3303
606,severity,0.9246,-0.1498,2,354,1881,94,2021.6915,21.1596,0.9876
340,internet,-0.3989,0.5208,3,360,1426,92,2021.7935,13.337,0.9618
500,potential,0.481,0.4019,3,440,1635,91,2021.989,14.7473,1.1436
15,alexnet,-0.998,-0.2273,1,360,1408,89,2021.9775,11.7978,0.7565
30,assessment,0.3986,0.3731,3,415,1558,88,2021.4205,19.3523,1.0468
217,estimation,0.3845,0.1706,3,373,1564,86,2021.686,12.4884,1.3111
493,plantvillage dataset,-0.7868,0.0378,1,373,1127,84,2022.2143,13.1905,0.9212
135,data augmentation,-0.659,0.2221,1,364,1157,83,2021.6145,23.1205,0.9133
62,blight,0.0783,-0.1975,1,383,1301,83,2021.9639,16.2048,1.129
702,vgg,-0.8353,-0.1389,1,283,1250,82,2022.2683,19.939,1.3139
139,day,0.7335,-0.0345,4,366,1517,81,2021.4074,15.5926,1.2303
661,thing,-0.435,0.5154,3,327,1246,81,2021.8395,14.4444,1.1026
564,resolution,0.4695,-0.0834,2,364,1467,80,2021.2375,29.9625,0.9936
319,imagery,1.0244,0.0943,2,331,1779,79,2021.4557,16.5949,1.0611
47,band,1.4027,-0.2623,2,291,1958,78,2020.9487,18.2564,0.9872
692,unmanned aerial vehicle,0.8781,0.2198,2,393,1636,77,2021.4416,24.5714,1.4887
